,trial,listener,imitator,imitated_sound,rated_sound,rating,duplicate_flag,tim,adib,vae,cvae1,cvae2,cvae3,vaeb,cvae1b,cvae2b,cvae3b
1,0.0,12.0,6.0,14.0,13.0,0.0,0.0,0.2377414917683984,0.24304738565146417,0.32578933640607405,0.3162131323156543,0.5182427135645289,0.39124678829378584,0.4208690719475783,0.3033758850850814,0.3214190291185276,0.33248001268800587
2,0.0,12.0,6.0,14.0,12.0,0.0,0.0,0.228213021020835,0.16900400136437352,0.4829083392538685,0.4549401241864246,0.7001699463769293,0.5828934238019055,0.292136171621963,0.22275933155369404,0.29712813416849193,0.30734971007797135
3,0.0,12.0,6.0,14.0,15.0,41.0,0.0,0.3084114746381906,0.3552936300530317,0.46811323955411,0.42718008350655745,0.6640209672354694,0.6729251266568926,0.4581989108675459,0.38716023887493756,0.4509860838179492,0.44697664432386214
4,0.0,12.0,6.0,14.0,14.0,40.0,0.0,0.2507275328013461,0.12796494609608178,0.212893473592076,0.23475544787740255,0.4399787220493587,0.26215767009485813,0.2523352923334584,0.1651790501612118,0.17572500469919272,0.15267648717320467
5,0.0,12.0,6.0,14.0,17.0,0.0,0.0,0.29113692965568183,0.40101263474538346,0.8235191398865929,0.6320467080423628,1.0,0.8211042856652565,0.6777892016592455,0.40569525626675407,0.5024885712641175,0.6129203849244521
6,0.0,12.0,6.0,14.0,16.0,55.0,0.0,0.3111390000405063,0.3730973154534392,0.4630005883484314,0.3838607672826077,0.6961653712881615,0.5924836783029612,0.5901368706062403,0.48663629201633307,0.4657103659243668,0.5004394495666895
7,1.0,12.0,5.0,4.0,1.0,0.0,0.0,0.5253894164270605,0.602997371598214,0.718887431555834,0.6275879251230917,0.6855281114885562,0.7209654729095999,0.5022348548930211,0.5140990359882822,0.5787427059592054,0.5298907685219543
8,1.0,12.0,5.0,4.0,0.0,0.0,0.0,0.5228127407101321,0.6062720118686723,0.6966399048818126,0.6449614225109543,0.7859739273738968,0.6675500809318947,0.4808352413778346,0.5708030437342597,0.6190878229577894,0.6364278318808104
9,1.0,12.0,5.0,4.0,3.0,28.0,0.0,0.3225467137901789,0.5103942088603496,0.5191582059873658,0.29360911851414007,0.42226425172540244,0.3823317867892079,0.4517426774239453,0.5337750028158653,0.5897200610794051,0.5721529622785113
10,1.0,12.0,5.0,4.0,2.0,19.0,0.0,0.27448462947876046,0.3499816426890517,0.32203600859382253,0.16808021628346947,0.192998622367979,0.24640359764597153,0.4479929942807823,0.34112073242475577,0.4331876308706955,0.41051182496960475
11,1.0,12.0,5.0,4.0,5.0,63.0,0.0,0.30297591875145624,0.31601364409469934,0.3927883879518449,0.2232647980542256,0.3199282747512632,0.46415669557683675,0.4376565505124508,0.4885601484065188,0.5017267279879674,0.5882292005037743
12,1.0,12.0,5.0,4.0,4.0,47.0,0.0,0.2854116249150279,0.2551966839671257,0.34713057993508734,0.2134363100951429,0.23282886950182366,0.33703087091187783,0.39087732905407385,0.3567624521108541,0.4651298164935515,0.45028880399033633
13,2.0,12.0,6.0,10.0,7.0,60.0,0.0,0.3227308806862087,0.4222496680285562,0.5253358949142787,0.34759066233965535,0.4581243371226677,0.38827149746515466,0.42083406523068784,0.5718206983855934,0.542610152184293,0.5710868493596969
14,2.0,12.0,6.0,10.0,6.0,46.0,0.0,0.3218476911707887,0.2701672205875083,0.4315712352190198,0.3401382855774738,0.3367952090575119,0.3720684421047108,0.34726124122925245,0.33869419354581903,0.3806864674832868,0.3845844013888917
15,2.0,12.0,6.0,10.0,9.0,22.0,0.0,0.480993426325212,0.18860885526808757,0.35118504292767105,0.3269911108127574,0.4235757332548677,0.3718311018320108,0.2889557590319936,0.35111417772472986,0.3179969479730901,0.26329784819984736
16,2.0,12.0,6.0,10.0,8.0,33.0,0.0,0.3093798694796647,0.43211285321322385,0.3665891003776977,0.29203589222573784,0.3371006404245928,0.3450164888881781,0.4449889990877917,0.5175224316089914,0.5216857739895803,0.48716591437768736
17,2.0,12.0,6.0,10.0,11.0,61.0,0.0,0.39964469495705024,0.17420923871346408,0.2954549318677602,0.32177953628461375,0.329966474601505,0.36350899568012246,0.2991434242535408,0.31524818268625027,0.2747227463506559,0.2104884037960167
18,2.0,12.0,6.0,10.0,10.0,16.0,0.0,0.36799496287729855,0.242127655786756,0.4215273434492733,0.36469555009808646,0.3795507969899056,0.43242885440745155,0.3355495122114607,0.28185502426557535,0.3169849754451678,0.2609203743203775
19,3.0,12.0,0.0,10.0,7.0,0.0,0.0,0.48043888552961084,0.19648436617630854,0.28121942482410495,0.4079870240324944,0.24316378587223128,0.4071222343953182,0.3666392168440167,0.35483038601952577,0.31557612537515234,0.2967294699711768
20,3.0,12.0,0.0,10.0,6.0,0.0,0.0,0.38805258242067053,0.13273243645585572,0.24291255757817118,0.31509081418853574,0.2088581684054273,0.3276150643570631,0.22397190408026801,0.2781146844249966,0.23684537355878105,0.24982176942183099
21,3.0,12.0,0.0,10.0,9.0,21.0,0.0,0.43681906078962085,0.1831874734675255,0.16178236279619537,0.29576402043847705,0.15164077236325788,0.33652215451921774,0.26565512370823496,0.2719549456576869,0.2698984889989028,0.1971238695098304
22,3.0,12.0,0.0,10.0,8.0,20.0,0.0,0.3640728183781104,0.1742106349681178,0.3773342764038761,0.4003880872838889,0.31263593788770777,0.4469308003984812,0.4772486237107852,0.3998758718065118,0.3261841166595466,0.38466583376654917
23,3.0,12.0,0.0,10.0,11.0,61.0,0.0,0.5102595742407182,0.17458904113465112,0.22208685099314524,0.33945852292477635,0.2787171361064205,0.4050080277359144,0.25583113937882723,0.24387717068074408,0.2403621417436085,0.1835852036390072
24,3.0,12.0,0.0,10.0,10.0,47.0,0.0,0.34078524272332056,0.17457287842926555,0.3530415433409011,0.3456180589471705,0.2816578822839651,0.38983350380663634,0.41689162074259617,0.345259864717808,0.29455089768452986,0.3113499531648567
25,4.0,12.0,13.0,11.0,7.0,9.0,0.0,0.3514348888471795,0.41257975833656185,0.4323828006094603,0.4500993541832601,0.42620466632703924,0.43637006892145236,0.46236497197987675,0.4144032613908515,0.43220997376455594,0.4420279416790878
26,4.0,12.0,13.0,11.0,6.0,27.0,0.0,0.560106038220391,0.2992417485726483,0.3771939628111022,0.45240323517819425,0.39674299408653035,0.44515979801830546,0.48655599716368925,0.3976044216455239,0.3885384599039255,0.4355430889802024
27,4.0,12.0,13.0,11.0,9.0,15.0,0.0,0.5691972064308262,0.2003373308932655,0.31435134681696164,0.3912338619842417,0.3406167037402202,0.4271749831286354,0.295002159565674,0.40123022371622197,0.35924986385701607,0.23278894569016548
28,4.0,12.0,13.0,11.0,8.0,44.0,0.0,0.6621696317393783,0.35467948955912765,0.3546421396452996,0.28813701318484175,0.2940987722907943,0.29839830603929685,0.6570426354556229,0.37275937819972327,0.4095771376033838,0.5056504301666791
29,4.0,12.0,13.0,11.0,11.0,0.0,0.0,0.41218863459162447,0.24873418276847542,0.36068385165027245,0.4443608300932154,0.466584188989484,0.49187081107936265,0.39667367092415445,0.3686606475874456,0.3435206410714021,0.3546173440417967
30,4.0,12.0,13.0,11.0,10.0,0.0,0.0,0.38589659875906496,0.19468937504207606,0.365177007400853,0.3733035644486415,0.3070451234187013,0.35902519967459906,0.3469390747129125,0.41813474470534917,0.35245050083511514,0.3323356474324985
31,5.0,12.0,3.0,6.0,7.0,41.0,0.0,0.15164407445127023,0.34248506683170254,0.26295511004616345,0.29894114517687503,0.24607550543367274,0.33824557501258845,0.3302127457015826,0.21873319460182297,0.20652815868023808,0.1389846385282743
32,5.0,12.0,3.0,6.0,6.0,59.0,0.0,0.1557546338465371,0.24564334038334393,0.31778866507321707,0.1802065831701507,0.10875933380690864,0.23255314216608344,0.37853443192277475,0.30563907578916216,0.29531368706396305,0.23531334939754592
33,5.0,12.0,3.0,6.0,9.0,0.0,0.0,0.17571006119231353,0.15646415369776598,0.7624313354540735,0.4146312897515008,0.6365007158526222,0.534803389765489,0.22311627783490393,0.329340955667676,0.358649011561152,0.4399693104248053
34,5.0,12.0,3.0,6.0,8.0,11.0,0.0,0.14868433385351698,0.4645633345527114,0.34712450048999316,0.3696050129631532,0.2857901607594186,0.37585177126704017,0.3580230390480058,0.23590771524701343,0.26911616386519094,0.1837727632094857
35,5.0,12.0,3.0,6.0,11.0,0.0,0.0,0.25305840195497453,0.29948046580768833,0.3132773520466219,0.2579540999545726,0.1815245657124161,0.29530095856442945,0.2657215841098528,0.31462454393399797,0.29135033255913956,0.29108591228222996
36,5.0,12.0,3.0,6.0,10.0,0.0,0.0,0.1615583877657971,0.14723789334430634,0.24877743879017097,0.2741656610065917,0.31434583202496263,0.303377556978598,0.16867666293253894,0.059080778421472246,0.1462308485362542,0.04905171189386151
37,6.0,12.0,10.0,13.0,13.0,11.0,0.0,0.2293324504407587,0.27312738623027516,0.4648054540079948,0.4458337328530721,0.40726256914236025,0.49480273181499684,0.6211614986497052,0.3988773731245109,0.4093556982944136,0.447418557608984
38,6.0,12.0,10.0,13.0,12.0,9.0,0.0,0.21989261050957595,0.23594157069879643,0.2692284489092249,0.3509680689903636,0.37292744471356015,0.4115511632490711,0.31936092526791976,0.22408300903458953,0.3133712444589991,0.2645135707806567
39,6.0,12.0,10.0,13.0,15.0,0.0,0.0,0.2960577583222504,0.252465313689208,0.2972255905162602,0.42622860749379105,0.383761646329279,0.47096249904167464,0.41871888908353166,0.2617483715404739,0.3324359671544647,0.4052964067948951
40,6.0,12.0,10.0,13.0,14.0,0.0,0.0,0.2681729891096591,0.23649861283951248,0.3776997321133049,0.322458614290847,0.3389299348266692,0.35350888810863196,0.5098006441806263,0.2866510321615664,0.34697107974497454,0.3464031050805303
41,6.0,12.0,10.0,13.0,17.0,51.0,0.0,0.2132366391337731,0.3737413273347836,0.5027799377258121,0.48128559398518,0.4986331414511606,0.6960226039005423,0.4377487423469966,0.5632523576924495,0.580430247372,0.51340581237571
42,6.0,12.0,10.0,13.0,16.0,58.0,0.0,0.23185395900760333,0.21939364711642712,0.394456385037521,0.4447553690289514,0.4714846777894647,0.5452658839977504,0.26721976687181515,0.3399369432757541,0.38773012971510706,0.30617190859022547
43,7.0,12.0,3.0,13.0,13.0,28.0,0.0,0.17002267752337194,0.1586265502042903,0.1923665109389786,0.2103598055654249,0.3010489656368783,0.2918257733436822,0.35387306008125496,0.15516010503193106,0.2276598613457511,0.20182677661977888
44,7.0,12.0,3.0,13.0,12.0,34.0,0.0,0.41061285417136195,0.21638112192414555,0.36276573735796114,0.46428883472498567,0.412001318618097,0.5190001702361524,0.25197636128431583,0.239315960237432,0.30233313416580704,0.33885213946283044
45,7.0,12.0,3.0,13.0,15.0,48.0,0.0,0.35350973957160237,0.2835021506579186,0.36242934139608257,0.35001531497086413,0.4704845976403214,0.5417863162347974,0.38182895294568503,0.23790817063664801,0.3170276012336266,0.34066788553973343
46,7.0,12.0,3.0,13.0,14.0,41.0,0.0,0.2743405158664603,0.23620343191249066,0.1923952869790911,0.2307016105201224,0.3408614742831043,0.36802267265523037,0.4046900220903697,0.2287295754919026,0.289464697575145,0.28673049032520825
47,7.0,12.0,3.0,13.0,17.0,34.0,0.0,0.3517470365164427,0.3471953530614208,0.5496646182922114,0.6115934882864008,0.6096048455097814,0.6885345467549239,0.40498275454026433,0.47815661609552956,0.5522149415739032,0.5064560516863346
48,7.0,12.0,3.0,13.0,16.0,45.0,0.0,0.29841671268810593,0.3067559680115309,0.44005635726661585,0.40963674815249007,0.42085347583777816,0.6017907181284883,0.4203641299767047,0.4291740064193644,0.4471727250390402,0.37477021503305663
49,8.0,12.0,8.0,10.0,7.0,24.0,0.0,0.5135283544441064,0.20164513493021533,0.2833985411236667,0.40660262323890245,0.3048869979424727,0.4556933235839793,0.5828166519416079,0.32932354115010076,0.3801158393517648,0.34354507643736865
50,8.0,12.0,8.0,10.0,6.0,27.0,0.0,0.5261684014048569,0.2534599547316259,0.31584932208817024,0.32458681500308245,0.21897603705305874,0.3700291370757322,0.5377388466849183,0.29226462677983367,0.3183901945242048,0.34343966963005407
