,trial,listener,imitator,imitated_sound,rated_sound,rating,duplicate_flag,Heuristic,CAEB,CAE,CAESL,CAEDL,CAESDL
1,0.0,12.0,6.0,14.0,13.0,0.0,0.0,0.23158806950408742,0.22045063534316642,0.29154389678622705,0.3139534598884386,0.35786961040337845,0.3609383795626684
2,0.0,12.0,6.0,14.0,12.0,0.0,0.0,0.20737782154223686,0.17557613839551153,0.18178949654932006,0.229390357384691,0.29246384880617776,0.294345818103339
3,0.0,12.0,6.0,14.0,15.0,41.0,0.0,0.2590464107379324,0.4132519333669905,0.45076464838693964,0.4816891586363409,0.5730719619140779,0.5444762028108358
4,0.0,12.0,6.0,14.0,14.0,40.0,0.0,0.3147483899884667,0.13638734797553534,0.1666781670909718,0.2360690520988453,0.23096413480021427,0.25938853137710366
5,0.0,12.0,6.0,14.0,17.0,0.0,0.0,0.2480043539742692,0.4808064078505818,0.4906501199509168,0.542171864462934,0.6332355333351755,0.6116813996526244
6,0.0,12.0,6.0,14.0,16.0,55.0,0.0,0.22757932177311183,0.4390214059009035,0.5018355150892673,0.5775019203686106,0.6093256925400888,0.635757912441951
7,1.0,12.0,5.0,4.0,1.0,0.0,0.0,0.6414589496973233,0.6466258990823555,0.7229346198509745,0.7548652368654616,0.6854111963924088,0.6642585650054548
8,1.0,12.0,5.0,4.0,0.0,0.0,0.0,0.3962206651593851,0.6060361262539371,0.6866116656900517,0.7186280756935857,0.6458654485306912,0.6332199120626675
9,1.0,12.0,5.0,4.0,3.0,28.0,0.0,0.15172577528972764,0.44377528193004123,0.5169151591680654,0.5224726804681125,0.434610059082878,0.46275718680680944
10,1.0,12.0,5.0,4.0,2.0,19.0,0.0,0.12853484872277066,0.3079877404308794,0.26427359240990944,0.3375655200374816,0.27558493753462926,0.2719379139174341
11,1.0,12.0,5.0,4.0,5.0,63.0,0.0,0.14239690060060584,0.318329116968306,0.3072004393425252,0.3214863831640054,0.34146729320319147,0.3048980439416433
12,1.0,12.0,5.0,4.0,4.0,47.0,0.0,0.13253058566557233,0.41048184351176037,0.2956750316595014,0.3334418276986244,0.2528803192807474,0.36211118271676096
13,2.0,12.0,6.0,10.0,7.0,60.0,0.0,0.16187298203002828,0.26795618913528824,0.333948233212885,0.4464624389194475,0.3097231769454408,0.3826576607918148
14,2.0,12.0,6.0,10.0,6.0,46.0,0.0,0.2090244274648476,0.21842741517106826,0.26256188013392845,0.34928964517540484,0.2849669767582618,0.30428717929293175
15,2.0,12.0,6.0,10.0,9.0,22.0,0.0,0.34322591058371554,0.16552231252437097,0.22969603597830987,0.2857313280458139,0.2910366354946011,0.2765761969924357
16,2.0,12.0,6.0,10.0,8.0,33.0,0.0,0.15232006506714874,0.2251504099753061,0.2665852215565076,0.354435692414568,0.29098469353901596,0.3243085578233971
17,2.0,12.0,6.0,10.0,11.0,61.0,0.0,0.28827450398533694,0.1314602696322672,0.22110273647464573,0.2574078024239696,0.2552995362253787,0.24807319628200575
18,2.0,12.0,6.0,10.0,10.0,16.0,0.0,0.187058074590884,0.17139502838684526,0.2025828952952422,0.28756504900316243,0.24625844048946238,0.29493524147601974
19,3.0,12.0,0.0,10.0,7.0,0.0,0.0,0.3201363498146064,0.1110929066021629,0.18834780869195927,0.22618352552450804,0.1990225576582336,0.20449790238302845
20,3.0,12.0,0.0,10.0,6.0,0.0,0.0,0.26177826004031596,0.07243001207909457,0.136012772541415,0.16368375686009148,0.15363509416562768,0.16275808949607862
21,3.0,12.0,0.0,10.0,9.0,21.0,0.0,0.3168359294155251,0.09251896083937672,0.16198553781729877,0.21732773500681846,0.2160101460370951,0.23339081096583844
22,3.0,12.0,0.0,10.0,8.0,20.0,0.0,0.18998347021493261,0.15200472716333635,0.17120222874187796,0.2577935217986428,0.19237574171577498,0.2310992120369553
23,3.0,12.0,0.0,10.0,11.0,61.0,0.0,0.9486491159575591,0.08040963013060642,0.16006009835766397,0.21205733039092817,0.2171108267774628,0.21860595405758154
24,3.0,12.0,0.0,10.0,10.0,47.0,0.0,0.17379905783100486,0.18128829130847024,0.18188992130709664,0.2657415595802785,0.20798996975148626,0.26349012814973355
25,4.0,12.0,13.0,11.0,7.0,9.0,0.0,0.23345109132619105,0.214023794986638,0.24446766869310985,0.33963707825472816,0.33852727826721635,0.3485923234496172
26,4.0,12.0,13.0,11.0,6.0,27.0,0.0,0.3838826064043083,0.2932518801054865,0.2911740585797402,0.4218045854613644,0.39126766128306156,0.40731447382560076
27,4.0,12.0,13.0,11.0,9.0,15.0,0.0,0.4956780519288889,0.1588353716613359,0.22601705813812745,0.32273401440903154,0.32843230594150186,0.31074927963375376
28,4.0,12.0,13.0,11.0,8.0,44.0,0.0,0.39948032038269377,0.42051819551253394,0.3155342906774262,0.46495750164346733,0.5198477480405382,0.47838968626120215
29,4.0,12.0,13.0,11.0,11.0,0.0,0.0,0.24827104851649856,0.16425042780766738,0.20879193139353897,0.3088682748156014,0.2983867041626183,0.29441148922884797
30,4.0,12.0,13.0,11.0,10.0,0.0,0.0,0.29094041188651865,0.14673710295725284,0.1692643677713232,0.2804530674623553,0.2804822368850165,0.2645556864294603
31,5.0,12.0,3.0,6.0,7.0,41.0,0.0,0.07464945359970489,0.21450034205152457,0.24287992590323113,0.29237790825518345,0.27408911572924594,0.26760219534800145
32,5.0,12.0,3.0,6.0,6.0,59.0,0.0,0.10669469762292133,0.24828278253256197,0.2918973835122373,0.3390223703748355,0.32502863543094246,0.30841726178237094
33,5.0,12.0,3.0,6.0,9.0,0.0,0.0,0.1291226565394054,0.1310020773010839,0.16906913249799374,0.21866756595912995,0.21567938417517207,0.2453566597479095
34,5.0,12.0,3.0,6.0,8.0,11.0,0.0,0.0747603159890448,0.2923455331881138,0.3325817968336621,0.373176836847967,0.35131107698856706,0.3716277602779883
35,5.0,12.0,3.0,6.0,11.0,0.0,0.0,0.12931883861522894,0.19430259642662423,0.24992158921231777,0.3300701500134776,0.295942174129861,0.34790943613043246
36,5.0,12.0,3.0,6.0,10.0,0.0,0.0,0.10555052739135587,0.12699937284578983,0.1508349509807353,0.19731720434128106,0.1746830209265931,0.18371372254946472
37,6.0,12.0,10.0,13.0,13.0,11.0,0.0,0.14524895690424436,0.35590441157868224,0.45400329419171376,0.4930389598690307,0.5263122972172583,0.48280832136307694
38,6.0,12.0,10.0,13.0,12.0,9.0,0.0,0.15027786549387243,0.3100892345287366,0.3265694697472786,0.35758459730509884,0.4233459854914652,0.3937893400019166
39,6.0,12.0,10.0,13.0,15.0,0.0,0.0,0.17478112370180035,0.3817550464506892,0.36191224739396965,0.3924606041841207,0.4727186626318607,0.4325628274137223
40,6.0,12.0,10.0,13.0,14.0,0.0,0.0,0.25074547405822517,0.2231332329353982,0.25902101265244926,0.29794787559043723,0.34182556111879586,0.33839439833768137
41,6.0,12.0,10.0,13.0,17.0,51.0,0.0,0.14201761817054442,0.6037397360216463,0.5033803440151485,0.5814697019664965,0.6404274578585641,0.6100811952637568
42,6.0,12.0,10.0,13.0,16.0,58.0,0.0,0.15078838714120413,0.3633740916993073,0.32635626889883323,0.38539027653728847,0.44646660931121895,0.3989889071806968
43,7.0,12.0,3.0,13.0,13.0,28.0,0.0,0.17691134101859293,0.1726321497295596,0.21231497365595786,0.2121402928616222,0.26366103193565615,0.239177953795128
44,7.0,12.0,3.0,13.0,12.0,34.0,0.0,0.2476825564775604,0.2745643849131054,0.26798376438344734,0.28355168552751747,0.3639349145366862,0.29369707515011345
45,7.0,12.0,3.0,13.0,15.0,48.0,0.0,0.221243151022842,0.27172452248757034,0.32130952129689977,0.3531856007840946,0.416146354260553,0.3972273350555259
46,7.0,12.0,3.0,13.0,14.0,41.0,0.0,0.18928308167912647,0.25536119545036134,0.2844117739993109,0.33027155630289406,0.3860253457946408,0.35688428464752864
47,7.0,12.0,3.0,13.0,17.0,34.0,0.0,0.2003852269965812,0.5156557377133136,0.4625343457847225,0.5358194945554637,0.5994592272252538,0.5190076623306209
48,7.0,12.0,3.0,13.0,16.0,45.0,0.0,0.17860704600406363,0.39186276886688914,0.40023773157806153,0.47057646086438065,0.5509312804168238,0.49892045869779894
49,8.0,12.0,8.0,10.0,7.0,24.0,0.0,0.24755733226567844,0.2253505503193693,0.23137964195415842,0.34634374366659826,0.2710640137297187,0.280607118392009
50,8.0,12.0,8.0,10.0,6.0,27.0,0.0,0.28154237994960685,0.28735406988052725,0.32118418333925547,0.38063607805408806,0.39555660066028314,0.39547446262224534
51,8.0,12.0,8.0,10.0,9.0,22.0,0.0,0.1688098364563572,0.1308068534035484,0.16478876404861043,0.2347323721664925,0.17895557571830745,0.19704746315156002
52,8.0,12.0,8.0,10.0,8.0,10.0,0.0,0.2929496364510349,0.3617086044676774,0.33973227117484706,0.4926782328307424,0.49341374123495163,0.4906395068444922
53,8.0,12.0,8.0,10.0,11.0,56.0,0.0,0.20932109779347308,0.1324696161043942,0.14019259342147308,0.2201165171642586,0.1890232612868961,0.23741364858091185
54,8.0,12.0,8.0,10.0,10.0,39.0,0.0,0.15809675224884673,0.15704818189295278,0.18418397085773183,0.30966185703397275,0.24522796597494895,0.3084170308170995
55,9.0,12.0,8.0,7.0,7.0,0.0,0.0,0.0682279241020139,0.1527485855229701,0.15181642578848129,0.18323935362350624,0.17356200826271828,0.1794989912880477
56,9.0,12.0,8.0,7.0,6.0,9.0,0.0,0.06725077295470537,0.18664979915803806,0.17669186987723423,0.19115346398476452,0.2546194036223906,0.24784531054753148
57,9.0,12.0,8.0,7.0,9.0,0.0,0.0,0.06900494943391429,0.0562399897819853,0.0430816421174276,0.07071224392580742,0.05005473642026443,0.09739033687112462
58,9.0,12.0,8.0,7.0,8.0,0.0,0.0,0.112814340311831,0.2968764073968348,0.2760348684443568,0.32832660002453695,0.3646380419499273,0.36140442898619546
59,9.0,12.0,8.0,7.0,11.0,17.0,0.0,0.14392859336202424,0.055635799474124586,0.07763361865789539,0.10969592905595107,0.08795919054007291,0.1597591594234514
60,9.0,12.0,8.0,7.0,10.0,0.0,0.0,0.06529023633718012,0.09211995023327002,0.12167669975613311,0.19604212037442276,0.16276171555820718,0.20743096885908718
61,10.0,12.0,4.0,1.0,1.0,45.0,0.0,0.2867393344384259,0.427377949471016,0.40894163165353276,0.5186554140290768,0.45061977279247784,0.58597981521354
62,10.0,12.0,4.0,1.0,0.0,0.0,0.0,0.2702929369069944,0.06264128510176378,0.08944508952672411,0.08976024590559759,0.060092910938092395,0.08417213664606052
